CMDLINE streamlit run streamlit_app.py
MEM 0.011719 1642941357.1080
MEM 19.273438 1642941357.2132
MEM 26.375000 1642941357.3184
MEM 33.371094 1642941357.4236
MEM 40.445312 1642941357.5245
MEM 51.328125 1642941357.6265
MEM 60.351562 1642941357.7316
MEM 71.324219 1642941357.8368
MEM 81.839844 1642941357.9419
MEM 85.304688 1642941358.0471
MEM 92.867188 1642941358.1522
MEM 99.738281 1642941358.2574
MEM 102.347656 1642941358.3601
MEM 103.910156 1642941358.4652
MEM 108.777344 1642941358.5703
MEM 124.613281 1642941358.6755
MEM 130.199219 1642941358.7806
MEM 127.207031 1642941358.8933
MEM 131.386719 1642941358.9985
MEM 137.457031 1642941359.0992
MEM 142.949219 1642941359.2031
MEM 145.238281 1642941359.3083
MEM 145.355469 1642941359.4132
MEM 145.460938 1642941359.5184
MEM 145.460938 1642941359.6245
MEM 144.953125 1642941359.7262
MEM 142.007812 1642941359.8287
MEM 140.390625 1642941359.9332
MEM 140.253906 1642941360.0380
MEM 138.238281 1642941360.1432
MEM 138.070312 1642941360.2492
MEM 139.394531 1642941360.3526
MEM 139.449219 1642941360.4547
MEM 139.449219 1642941360.5599
MEM 139.449219 1642941360.6638
MEM 139.449219 1642941360.7689
MEM 139.449219 1642941360.8735
MEM 139.449219 1642941360.9754
MEM 139.449219 1642941361.0805
MEM 139.449219 1642941361.1856
MEM 139.449219 1642941361.2907
MEM 139.449219 1642941361.3958
MEM 139.449219 1642941361.5010
MEM 139.449219 1642941361.6059
MEM 138.320312 1642941361.7089
MEM 138.328125 1642941361.8105
MEM 138.140625 1642941361.9259
MEM 137.277344 1642941362.0332
MEM 135.226562 1642941362.1436
MEM 135.066406 1642941362.2450
MEM 118.671875 1642941362.3496
MEM 92.867188 1642941362.4549
MEM 45.378906 1642941362.5601
MEM 41.964844 1642941362.6650
MEM 51.378906 1642941362.7664
MEM 118.082031 1642941362.8701
MEM 126.902344 1642941362.9754
MEM 126.972656 1642941363.0774
MEM 126.976562 1642941363.1837
MEM 126.984375 1642941363.2854
MEM 127.062500 1642941363.3866
MEM 127.824219 1642941363.4886
MEM 127.566406 1642941363.5942
MEM 127.566406 1642941363.6964
MEM 127.566406 1642941363.8017
