,algo,rmse,mae,fcp
0,SlopeOne,2.384872848769624,1.864125823096082,0.5595036058482624
1,CoClustering,2.5303556061004207,1.9779922381304478,0.543360952195819
2,SVD,2.3297590798255925,1.8439259972059194,0.5628976712831691
3,SVDpp,2.378091923398244,1.8661250629054726,0.5588224666228753
4,KNN_means_users,2.4172800380893413,1.9040832909525283,0.5518978528296354
5,KNN_zscore_users,2.472917993009183,1.936039716635052,0.5439682831917436
6,KNN_baselines_users,2.3205188951375773,1.8399929086406863,0.5531437533182092
7,KNN_means_items,2.3749649406791002,1.8473916844238585,0.5494721808550901
8,KNN_zscore_items,2.3565867091539103,1.839582698496161,0.5686247852387577
9,KNN_baselines_items,2.352724805104053,1.8416212886371237,0.5617157091431191
10,BaselineOnly,2.3655014938996834,1.8952048394190601,0.5659790858445549
