,time,position,time_server,session_id,userID
0,1642306260.4550717,start,2022-01-16 04:11:00.484000+00:00,a893704f-1cdd-4082-8fdc-2ddb4eeea1ba,95750012
1,1642319989.8255384,start,2022-01-16 07:59:49.848000+00:00,1a684f0d-85d5-4398-8de4-b205efc4f50b,58861073
2,1642341602.8676486,rating,2022-01-16 14:00:02.900000+00:00,b77f08ea-7ac6-4853-9215-a43bbf39a205,23575734
3,1640439072.5309877,start,2021-12-25 13:31:12.648000+00:00,6c77f624-c648-4bfb-946b-393cc10bc24c,89474251
4,1642315358.013506,start,2022-01-16 06:42:38.041000+00:00,540db353-bca7-43b6-9dd8-d03d77e8945f,19682314
5,1642287271.257709,results,2022-01-15 22:54:31.293000+00:00,cfc88066-08f7-47ac-be54-9305d3824863,22197851
6,1642302029.7088776,start,2022-01-16 03:00:29.732000+00:00,8cf9da9d-da15-4e70-b490-9e27a9861a54,37170998
7,1641561244.2523732,start,2022-01-07 13:14:04.382000+00:00,b439ee2d-7a55-49e4-8c82-4954046cd1d5,99618479
8,1642391137.2422054,start,2022-01-17 03:45:37.272000+00:00,b92bed15-ced2-4156-ba77-5ecc63c92b03,71072297
9,1642336460.5440063,start,2022-01-16 12:34:20.565000+00:00,26328dab-0245-49a0-9fb3-a7b445b4e6e0,36087489
10,1642321735.1185722,start,2022-01-16 08:28:55.140000+00:00,afa1b7a6-76c3-462d-a7eb-576088cf6988,86638914
11,1642333531.801656,start,2022-01-16 11:45:31.856000+00:00,f859dbb9-a477-4b27-92b0-be02fff47ca5,99885482
12,1642377183.7338552,start,2022-01-16 23:53:03.764000+00:00,9bfdd582-70a8-454d-bd3d-d806b7de9faf,87392320
13,1642306561.2984304,questions,2022-01-16 04:16:01.337000+00:00,98d15ba6-47e7-4b92-b64b-e74f022c425d,12795798
14,1642304974.9063866,results,2022-01-16 03:49:34.928000+00:00,2b2eba72-ce6c-4b1e-966e-73be6e5bdfa0,33686984
15,1642337746.223417,rating,2022-01-16 12:55:46.273000+00:00,9cb5db06-9b05-4c22-95ad-101839d241e6,24968972
16,1642335382.0946887,start,2022-01-16 12:16:22.288000+00:00,9e743b85-cca8-4ce8-906e-1b07d56db564,93972387
17,1642390837.005327,start,2022-01-17 03:40:37.036000+00:00,90880a7d-5390-42d7-bf81-9637deb6a471,59405582
18,1642358402.0951285,start,2022-01-16 18:40:02.133000+00:00,e566ad92-8e38-44d0-bd8f-d611070632b7,99843121
19,1642305717.862075,rating,2022-01-16 04:01:57.891000+00:00,fa121480-f42d-483c-8c34-8d8b088eeda7,71017829
20,1642313303.6748397,results,2022-01-16 06:08:23.704000+00:00,11bc0d84-b957-4a55-91af-a9f1f26f54e5,68309930
21,1642339815.606054,rating,2022-01-16 13:30:15.634000+00:00,eb375356-3b2c-4717-bed6-76afe51bf847,96003756
22,1642300468.6927543,rating,2022-01-16 02:34:28.722000+00:00,d010c44c-7a0c-4a3b-9b22-96a82ee2fec7,81881286
23,1642348460.998475,start,2022-01-16 15:54:21.036000+00:00,f83dff48-ea5e-427d-8369-babe8ba73838,87870375
24,1642292591.8026898,results,2022-01-16 00:23:11.840000+00:00,37fdfbb1-159d-47cf-87a2-d578d5e9ecc1,12015910
25,1642313281.8832617,start,2022-01-16 06:08:01.923000+00:00,0e145c66-1d11-4651-b2fd-b1d4900d0706,27505616
26,1642305152.770085,rating,2022-01-16 03:52:32.798000+00:00,cb123273-6925-4ae4-8d42-b684500b19db,57298131
27,1642391120.4049075,start,2022-01-17 03:45:20.529000+00:00,35326322-abee-4cd0-ab77-05b1fce496b0,96072922
28,1642332767.8254552,start,2022-01-16 11:32:47.872000+00:00,5a7214a0-f080-4f90-9e5a-d2eb3f292ae8,27185143
29,1642352901.1496558,questions,2022-01-16 17:08:21.178000+00:00,20ecc6a3-d44c-4bdb-a507-fdb2302e89ba,23499808
30,1642302142.9878993,start,2022-01-16 03:02:23.012000+00:00,79f27d9b-c150-42df-97af-66cc6b7a1282,13398375
31,1640780932.7773404,start,2021-12-29 12:28:52.905000+00:00,3fab809f-1abe-41f3-bf37-9a04f3481892,32909220
32,1642341744.6238096,start,2022-01-16 14:02:24.653000+00:00,721ad56e-a9b7-4500-b671-f4d8266a08b5,34826865
33,1642324950.6915872,questions,2022-01-16 09:22:30.727000+00:00,d6340ed3-9604-4915-ab23-1db9be7d8dd2,41055549
34,1642345944.8947458,start,2022-01-16 15:12:24.928000+00:00,7dc768c6-5f95-45ec-b7e3-85a45ca04463,81201865
35,1642352031.4353673,results,2022-01-16 16:53:51.467000+00:00,6788ee4a-916c-4d25-ae4a-447fe3dbd326,82808971
36,1642302536.8976204,start,2022-01-16 03:08:56.917000+00:00,c186f46f-c900-4dfa-baea-f143d39161b2,63075446
37,1642334577.9026423,start,2022-01-16 12:02:57.928000+00:00,9b0fa680-0f0f-4dea-887f-5430283dd2f4,85545935
38,1642285879.2293603,rating,2022-01-15 22:31:19.261000+00:00,f5e009f1-ea51-4716-803e-575340ac747c,16421609
39,1642341203.4849582,start,2022-01-16 13:53:23.518000+00:00,4903ac44-ab74-489b-9ff0-9327cf32f447,76656322
40,1642348778.028585,questions,2022-01-16 15:59:38.065000+00:00,b0a35e91-f2fa-44e2-ac3c-a9f5a6cacec8,61240752
41,1642361558.5219815,start,2022-01-16 19:32:38.550000+00:00,3a0cd5bd-439e-4c87-9756-3204f5bd8b22,62811087
42,1639961663.734605,start,2021-12-20 00:54:23.864000+00:00,e295edb1-d4e6-4dd0-862e-3a8b9adbd3d6,20335013
43,1642298918.335422,results,2022-01-16 02:08:38.479000+00:00,c446d92d-a3d3-4d66-a885-3700a73240e6,6229470
44,1642306440.2634826,start,2022-01-16 04:14:00.290000+00:00,8ac025b4-4d26-48d3-a27d-f2fd8867164c,16618941
45,1642340891.8938181,start,2022-01-16 13:48:11.928000+00:00,615842d7-abba-407a-8e9f-ef02062972f6,81201865
46,1642344130.153874,rating,2022-01-16 14:42:10.179000+00:00,e1230f1c-ca7d-4262-a522-a70ff5886f11,67543432
